# word	zipf
engine	4.84
everybody	4.84
famous	4.84
ideas	4.84
investment	4.84
keeping	4.84
lie	4.84
notes	4.84
partner	4.84
plays	4.84
raised	4.84
runs	4.84
sad	4.84
solution	4.84
songs	4.84
sources	4.84
southern	4.84
square	4.84
stopped	4.84
structure	4.84
thomas	4.84
traditional	4.84
twice	4.84
wind	4.84
worry	4.84
americans	4.83
appeared	4.83
becomes	4.83
brand	4.83
bus	4.83
cent	4.83
chicago	4.83
count	4.83
covered	4.83
critical	4.83
digital	4.83
forced	4.83
fourth	4.83
fresh	4.83
lake	4.83
mental	4.83
mentioned	4.83
missed	4.83
mostly	4.83
mouth	4.83
owner	4.83
photos	4.83
previously	4.83
realize	4.83
remain	4.83
scale	4.83
score	4.83
separate	4.83
smart	4.83
starts	4.83
surface	4.83
throw	4.83
tom	4.83
totally	4.83
twitter	4.83
views	4.83
wedding	4.83
acting	4.82
actions	4.82
african	4.82
arms	4.82
benefit	4.82
budget	4.82
click	4.82
estate	4.82
failed	4.82
faith	4.82
fashion	4.82
feature	4.82
fund	4.82
generation	4.82
hearing	4.82
hill	4.82
jack	4.82
larger	4.82
louis	4.82
metal	4.82
mid	4.82
paris	4.82
profile	4.82
pull	4.82
push	4.82
returned	4.82
rose	4.82
seat	4.82
seemed	4.82
sexual	4.82
target	4.82
understanding	4.82
village	4.82
agent	4.81
animal	4.81
apply	4.81
authority	4.81
basis	4.81
becoming	4.81
chris	4.81
draw	4.81
dude	4.81
employees	4.81
enter	4.81
ex	4.81
follows	4.81
foundation	4.81
gain	4.81
http	4.81
individuals	4.81
japanese	4.81
leaders	4.81
memory	4.81
prime	4.81
projects	4.81
ring	4.81
rise	4.81
selling	4.81
served	4.81
silver	4.81
soul	4.81
spread	4.81
supply	4.81
waste	4.81
weird	4.81
adult	4.80
apparently	4.80
artist	4.80
chairman	4.80
edition	4.80
engineering	4.80
grade	4.80
happening	4.80
healthy	4.80
institute	4.80
method	4.80
mike	4.80
monday	4.80
nations	4.80
obviously	4.80
option	4.80
prison	4.80
provides	4.80
remains	4.80
senate	4.80
smaller	4.80
somebody	4.80
stone	4.80
strength	4.80
users	4.80
wild	4.80
window	4.80
